ID,Fallow_yr1,Fallow_yr2,Fallow_yr3,wealth,hheducation,adults,ethnicity,hhgender
EB070,No,Yes,No,2.28,primary2,1,Other,Male
EB069,No,No,No,0.795,primary2,1,Other,Male
EB084,No,No,No,0.83,primary2,2,Other,Male
EB023,Yes,No,Yes,1,none,4,Other,Female
EB035,Yes,No,No,4.11,primary1,5,Other,Male
EB016,No,Yes,No,1.475,primary1,2,Other,Male
EB017,Yes,Yes,Yes,4.028,primary1,6+,Other,Male
EB018,Yes,Yes,Yes,4.43,primary2,5,Other,Male
EB019,Yes,Yes,Yes,2.83,primary2,1,Other,Male
EB020,Yes,No,Yes,3.527,primary1,6+,Other,Male
EB013,Yes,No,No,0.293,none,5,Other,Male
EB022,No,No,No,4.15,none,6+,Other,Male
EB012,Yes,Yes,No,0.475,primary1,3,Other,Male
EB024,Yes,Yes,No,3.28,primary2,2,Other,Male
EB025,No,No,No,1,none,2,Other,Female
EB026,Yes,No,No,3.99,primary1,5,Other,Male
EB032,Yes,No,No,3.83,primary2,1,Other,Female
EB033,No,No,Yes,3.63,primary1,4,Other,Male
EB034,Yes,Yes,No,4.07,primary2,4,Other,Female
EB021,Yes,No,No,4.93,primary2,2,Other,Male
EB005,Yes,No,Yes,1.675,secondary,2,Other,Male
EB066,No,Yes,No,3.07,primary2,2,Other,Male
EB028,Yes,Yes,No,4.492,primary2,5,Other,Male
EB030,No,No,Yes,3.24,none,2,Other,Male
EB031,Yes,No,No,4.15,none,5,Other,Male
EB001,Yes,No,Yes,2.11,primary1,4,Other,Male
EB002,Yes,No,No,2.43,primary2,5,Other,Male
EB015,Yes,No,No,2.15,none,2,Other,Female
EB004,Yes,No,Yes,1.83,primary2,3,Other,Male
EB029,No,No,Yes,1.83,primary2,3,Other,Male
EB006,Yes,No,Yes,0.55,none,3,Other,Female
EB007,No,No,No,1.56,primary1,3,Other,Male
EB008,Yes,No,Yes,3.13,primary2,2,Other,Male
EB009,No,No,No,1.79,none,2,Other,Male
EB010,Yes,No,Yes,3.75,primary1,2,Other,Male
EB011,Yes,Yes,Yes,1.675,secondary,2,Other,Male
EB003,Yes,No,No,1.83,primary2,2,Other,Female
EB027,No,No,No,3.83,primary2,3,Other,Male
EK060,No,No,No,0.83,primary2,2,Other,Male
EK054,No,No,No,1.19,primary2,3,Other,Male
EK053,No,No,No,2.95,secondary,3,Other,Male
EK052,No,No,No,0.83,primary2,2,Other,Male
EK052,No,No,No,1.19,primary2,2,Other,Male
EK056,No,No,No,0.55,none,1,Other,Female
EK065,No,No,No,0.83,primary2,2,Other,Male
EK055,Yes,No,No,0.715,primary1,3,Other,Male
EK057,No,No,No,0.99,primary1,2,Other,Male
EK058,No,No,No,3.035,secondary,5,Other,Male
EK059,No,No,No,2.635,none,3,Other,Male
EK061,No,No,No,1.19,primary2,4,Other,Female
EK051,No,No,No,3.31,secondary,4,Other,Male
EK038,No,No,No,0.835,primary1,4,Other,Male
EK062,No,No,No,0.715,primary1,1,Other,Male
EK063,No,No,No,2.475,primary1,1,Other,Female
EK064,No,No,No,0.99,primary1,3,Other,Female
EK041,No,No,No,3.155,primary2,4,Other,Female
EK034,No,No,No,0.915,primary2,3,Other,Male
EK033,No,No,No,0.64,secondary,4,Other,Male
EK091,No,No,No,0.475,primary1,3,Other,Female
EK066,No,No,No,0.83,primary2,2,Other,Male
EK035,No,No,No,0.475,primary1,4,Other,Male
EK036,No,No,No,0.475,primary1,3,Other,Female
EK040,No,No,No,1.11,primary1,4,Other,Female
EK039,No,No,No,0.835,primary1,3,Other,Male
EK050,No,No,No,0.515,none,3,Other,Female
EK043,No,No,No,0.555,primary2,3,Other,Male
EK045,No,No,Yes,0.715,primary1,2,Other,Male
EK046,No,No,No,0.635,none,1,Other,Female
EK047,No,No,No,1.19,primary2,2,Other,Male
EK048,No,No,No,0.55,none,2,Other,Female
EK049,No,No,No,2.855,primary2,2,Other,Male
EK037,No,No,No,2.56,primary1,5,Other,Male
EK098,No,No,No,1.155,primary2,5,Other,Male
EK089,No,No,No,2.915,primary2,3,Other,Female
EK088,No,No,No,0,none,1,Other,Female
EK031,No,No,No,3.43,primary2,4,Other,Female
EK090,No,No,No,2.915,primary2,3,Other,Male
EK042,No,No,No,2.75,primary1,3,Other,Female
EK093,No,No,No,0.715,primary1,2,Other,Female
EK086,No,No,No,0.275,none,1,Other,Female
EK095,No,No,No,0.835,primary1,2,Other,Female
EK085,No,No,No,0,none,2,Other,Male
EK150,No,No,No,0.515,none,2,Other,Female
EK153,No,No,No,3.13,primary2,2,Other,Male
EK154,No,No,No,1.11,primary1,2,Other,Male
EK158,No,No,No,0.94,primary2,2,Other,Male
EK162,No,No,No,0.79,none,2,Other,Male
EK163,No,No,No,0.91,none,1,Other,Male
EK099,No,No,No,0.475,primary1,1,Other,Male
EK094,No,No,No,0.915,primary2,3,Other,Male
EK077,No,No,No,0.91,none,3,Other,Female
EK068,No,No,No,0.715,primary1,3,Other,Male
EK070,No,No,No,2.835,primary1,3,Other,Female
EK071,No,No,No,0.905,primary2,2,Other,Male
EK072,No,No,No,0.95,secondary,1,Other,Male
EK073,No,No,No,3.19,secondary,2,Other,Male
EK074,No,No,No,0.91,none,1,Other,Female
EK087,No,No,No,2.83,primary2,2,Other,Male
EK076,No,No,No,2.795,primary2,2,Other,Male
EK067,No,No,No,0.835,primary1,2,Other,Male
EK078,No,No,No,1.11,primary1,3,Other,Male
EK079,No,No,No,1.07,primary2,3,Other,Female
EK080,No,No,No,0.475,primary1,3,Other,Female
EK081,No,No,No,4.11,primary1,2,Other,Female
EK082,No,No,No,1.07,primary2,3,Other,Male
EK083,No,No,No,1.19,primary2,2,Other,Male
EK084,No,No,No,0.79,none,2,Other,Male
EK075,No,No,No,1.11,primary1,3,Other,Male
EK124,No,No,No,1.19,primary2,3,Other,Male
EK116,No,No,No,0.835,primary1,4,Other,Female
EK131,No,No,No,0.55,none,2,Other,Male
EK130,No,No,No,0.55,none,1,Other,Male
EK129,No,No,No,1.11,primary1,1,Other,Male
EK128,No,No,No,0.835,primary1,4,Other,Male
EK127,No,No,No,0.555,primary2,2,Other,Male
EK135,No,No,No,0.83,primary2,2,Other,Male
EK125,No,No,No,1.35,primary1,1,Other,Female
EK136,Yes,No,No,2.835,primary1,3,Other,Male
EK123,No,No,No,0.625,none,3,Other,Male
EK121,No,No,No,1.15,none,3,Other,Male
EK120,No,No,No,3.11,primary1,6+,Other,Male
EK119,No,No,No,0.83,primary2,2,Other,Male
EK118,No,No,No,1.19,secondary,2,Other,Male
EK117,No,No,No,0.99,primary1,3,Other,Female
EK126,No,No,No,3.19,secondary,5,Other,Male
EK143,No,No,No,3.215,secondary,2,Other,Male
EK044,No,No,No,1.55,secondary,2,Other,Male
EK030,No,No,No,3.135,primary1,5,Other,Male
EK149,No,No,No,3.71,secondary,4,Other,Male
EK148,No,No,Yes,0.635,none,4,Other,Male
EK147,No,No,No,0.75,primary1,3,Other,Male
EK146,No,No,No,1.124,other,4,Other,Male
EK144,No,No,No,0.83,primary2,2,Other,Male
EK132,No,No,No,1.19,primary2,2,Other,Female
EK142,No,No,No,1.07,primary2,3,Other,Male
EK141,No,No,No,2.715,primary1,2,Other,Male
EK140,No,No,No,0.715,primary1,1,Other,Female
